period,subba,subba-name,parent,parent-name,value,value-units
2024-12-25T17,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16437,megawatthours
2024-12-25T16,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16470,megawatthours
2024-12-25T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16323,megawatthours
2024-12-25T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15941,megawatthours
2024-12-25T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15417,megawatthours
2024-12-25T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14993,megawatthours
2024-12-25T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15294,megawatthours
2024-12-25T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15148,megawatthours
2024-12-25T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14831,megawatthours
2024-12-25T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14537,megawatthours
2024-12-25T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14849,megawatthours
2024-12-25T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15265,megawatthours
2024-12-25T05,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15719,megawatthours
2024-12-25T04,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15767,megawatthours
2024-12-25T03,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15861,megawatthours
2024-12-25T02,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16156,megawatthours
2024-12-25T01,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16489,megawatthours
2024-12-25T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16830,megawatthours
2024-12-24T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16734,megawatthours
2024-12-24T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16278,megawatthours
2024-12-24T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16291,megawatthours
2024-12-24T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16458,megawatthours
2024-12-24T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16613,megawatthours
2024-12-24T18,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16773,megawatthours
2024-12-24T17,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16889,megawatthours
2024-12-24T16,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16801,megawatthours
2024-12-24T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16453,megawatthours
2024-12-24T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15917,megawatthours
2024-12-24T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15366,megawatthours
2024-12-24T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",14806,megawatthours
2024-12-24T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15418,megawatthours
2024-12-24T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15135,megawatthours
2024-12-24T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15153,megawatthours
2024-12-24T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15356,megawatthours
2024-12-24T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15755,megawatthours
2024-12-24T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16316,megawatthours
2024-12-24T05,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16739,megawatthours
2024-12-24T04,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16971,megawatthours
2024-12-24T03,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17625,megawatthours
2024-12-24T02,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18194,megawatthours
2024-12-24T01,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18610,megawatthours
2024-12-24T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18928,megawatthours
2024-12-23T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18793,megawatthours
2024-12-23T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18335,megawatthours
2024-12-23T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18348,megawatthours
2024-12-23T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18536,megawatthours
2024-12-23T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18656,megawatthours
2024-12-23T18,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18694,megawatthours
2024-12-23T17,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18701,megawatthours
2024-12-23T16,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18561,megawatthours
2024-12-23T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18264,megawatthours
2024-12-23T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17933,megawatthours
2024-12-23T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17201,megawatthours
2024-12-23T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16202,megawatthours
2024-12-23T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15474,megawatthours
2024-12-23T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15691,megawatthours
2024-12-23T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15592,megawatthours
2024-12-23T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15721,megawatthours
2024-12-23T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15972,megawatthours
2024-12-23T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16438,megawatthours
2024-12-23T05,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17036,megawatthours
2024-12-23T04,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17440,megawatthours
2024-12-23T03,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17738,megawatthours
2024-12-23T02,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18268,megawatthours
2024-12-23T01,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18505,megawatthours
2024-12-23T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18806,megawatthours
2024-12-22T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18401,megawatthours
2024-12-22T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17646,megawatthours
2024-12-22T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18429,megawatthours
2024-12-22T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18602,megawatthours
2024-12-22T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18710,megawatthours
2024-12-22T18,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18756,megawatthours
2024-12-22T17,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18551,megawatthours
2024-12-22T16,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17742,megawatthours
2024-12-22T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17330,megawatthours
2024-12-22T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16973,megawatthours
2024-12-22T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16505,megawatthours
2024-12-22T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",15955,megawatthours
2024-12-22T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16361,megawatthours
2024-12-22T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16300,megawatthours
2024-12-22T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16312,megawatthours
2024-12-22T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16481,megawatthours
2024-12-22T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16742,megawatthours
2024-12-22T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17202,megawatthours
2024-12-22T05,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17759,megawatthours
2024-12-22T04,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17833,megawatthours
2024-12-22T03,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18220,megawatthours
2024-12-22T02,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18551,megawatthours
2024-12-22T01,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18767,megawatthours
2024-12-22T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18929,megawatthours
2024-12-21T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18503,megawatthours
2024-12-21T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17710,megawatthours
2024-12-21T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18359,megawatthours
2024-12-21T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18467,megawatthours
2024-12-21T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18598,megawatthours
2024-12-21T18,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18716,megawatthours
2024-12-21T17,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18218,megawatthours
2024-12-21T16,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17917,megawatthours
2024-12-21T15,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17661,megawatthours
2024-12-21T14,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17261,megawatthours
2024-12-21T13,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16714,megawatthours
2024-12-21T12,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16122,megawatthours
2024-12-21T11,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16407,megawatthours
2024-12-21T10,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16149,megawatthours
2024-12-21T09,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16184,megawatthours
2024-12-21T08,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16307,megawatthours
2024-12-21T07,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",16605,megawatthours
2024-12-21T06,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17127,megawatthours
2024-12-21T05,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",17798,megawatthours
2024-12-21T04,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18006,megawatthours
2024-12-21T03,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18497,megawatthours
2024-12-21T02,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18998,megawatthours
2024-12-21T01,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",19343,megawatthours
2024-12-21T00,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",19647,megawatthours
2024-12-20T23,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",19415,megawatthours
2024-12-20T22,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18790,megawatthours
2024-12-20T21,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18705,megawatthours
2024-12-20T20,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",18962,megawatthours
2024-12-20T19,0027,Zones 2 and 7,MISO,"Midcontinent Independent System Operator, Inc.",19114,megawatthours
